iter	RMSE
0	3.534356641
1	3.405390803
2	3.292991449
3	3.204369768
4	3.12301695
5	3.061884753
6	3.006641814
7	2.958545557
8	2.914046092
9	2.87590947
10	2.849980481
11	2.825931046
12	2.80235896
13	2.783694251
14	2.769508896
15	2.753290215
16	2.73726242
17	2.724564217
18	2.709164704
19	2.699156035
20	2.686883636
21	2.678215337
22	2.667094818
23	2.656138347
24	2.649372743
25	2.640850088
26	2.635200453
27	2.628998649
28	2.619986762
29	2.614293219
30	2.608275465
31	2.599476627
32	2.593469808
33	2.589084327
34	2.582608673
35	2.576128641
36	2.56757027
37	2.561843321
38	2.555769015
39	2.552410713
40	2.547486958
41	2.542813171
42	2.537705263
43	2.533213025
44	2.528872433
45	2.522174423
46	2.517502618
47	2.512848526
48	2.510182242
49	2.505858267
50	2.503694788
51	2.498619055
52	2.493904016
53	2.48993869
54	2.48533171
55	2.481484737
56	2.47749146
57	2.473421707
58	2.470786536
59	2.468427427
60	2.46473271
61	2.46228252
62	2.459392649
63	2.457807723
64	2.451157931
65	2.448992198
66	2.445368203
67	2.442214976
68	2.438519938
69	2.435310065
70	2.432276007
71	2.428323508
72	2.425045305
73	2.422195164
74	2.418577958
75	2.414765819
76	2.410861521
77	2.40726254
78	2.404066128
79	2.401397156
80	2.399485415
81	2.395726195
82	2.392755457
83	2.389939533
84	2.388521266
85	2.385550275
86	2.382280748
87	2.380178572
88	2.378264809
89	2.375610149
90	2.372491783
91	2.368970645
92	2.366066909
93	2.363993017
94	2.361649658
95	2.359114134
96	2.355889289
97	2.354325527
98	2.351979301
99	2.349812284
100	2.346073187
101	2.343491678
102	2.341818269
103	2.339926413
104	2.337989467
105	2.335192914
106	2.332133024
107	2.329412125
108	2.327400323
109	2.32465614
110	2.323137876
111	2.32077495
112	2.317859697
113	2.31569869
114	2.313131813
115	2.311621451
116	2.3099436
117	2.305203548
118	2.30304424
119	2.301116985
120	2.299500246
121	2.297318104
122	2.295196158
123	2.292950189
124	2.290765634
125	2.289216921
126	2.286937665
127	2.285493806
128	2.284191698
129	2.283061596
130	2.28039733
131	2.278174273
132	2.276181691
133	2.274667309
134	2.273405832
135	2.271472134
136	2.268492485
137	2.267049971
138	2.266023497
139	2.264347888
140	2.261592607
141	2.259651272
142	2.25842629
143	2.257088681
144	2.255292855
145	2.251707787
146	2.250316823
147	2.248533892
148	2.246583395
149	2.244716472
150	2.24249309
151	2.240712356
152	2.239032296
153	2.237129434
154	2.235262708
155	2.233703663
156	2.231771856
157	2.230410291
158	2.228253935
159	2.226353489
160	2.224635883
161	2.222233103
162	2.220007492
163	2.218552587
164	2.217347489
165	2.215571092
166	2.213857826
167	2.212839471
168	2.211473972
169	2.210281882
170	2.208561952
171	2.20648825
172	2.204688477
173	2.203493968
174	2.202399644
175	2.201088799
176	2.20037135
177	2.198333428
178	2.197552634
179	2.194718143
180	2.193069914
181	2.190985627
182	2.188823446
183	2.187244687
184	2.185390739
185	2.184290004
186	2.182683955
187	2.181642662
188	2.180664297
189	2.179327971
190	2.178154514
191	2.176453188
192	2.175447506
193	2.173429054
194	2.172315513
195	2.171070938
196	2.16957881
197	2.168661779
198	2.167838575
199	2.166828919
200	2.166151495
201	2.164778267
202	2.163996408
203	2.162627905
204	2.161500434
205	2.160254024
206	2.159473763
207	2.15784603
208	2.156902742
209	2.155701225
210	2.154936018
211	2.153832211
212	2.152295095
213	2.151372436
214	2.150518557
215	2.149032227
216	2.147997605
217	2.146872219
218	2.144867276
219	2.143671831
220	2.142774717
221	2.141955156
222	2.140458916
223	2.139244505
224	2.138586213
225	2.137299419
226	2.136346898
227	2.135469469
228	2.134136871
229	2.133117919
230	2.132090439
231	2.130735773
232	2.129425513
233	2.128519541
234	2.127439953
235	2.126591247
236	2.126071645
237	2.124927673
238	2.124212629
239	2.123218589
240	2.121380608
241	2.120518094
242	2.119549542
243	2.118585457
244	2.116608479
245	2.116043628
246	2.115096136
247	2.113681957
248	2.112393173
249	2.111298013
250	2.110458083
251	2.109168482
252	2.10813055
253	2.107170631
254	2.106185723
255	2.104976057
256	2.104120843
257	2.103006175
258	2.101906679
259	2.100838674
260	2.099757789
261	2.098760065
262	2.098096017
263	2.096927272
264	2.095138043
265	2.094009711
266	2.092856872
267	2.091976213
268	2.091241651
269	2.090393274
270	2.090003315
271	2.089220813
272	2.088431132
273	2.087585794
274	2.086625222
275	2.086019171
276	2.085160531
277	2.083950797
278	2.082907726
279	2.081190236
280	2.080646296
281	2.079440409
282	2.078718475
283	2.077576587
284	2.076432607
285	2.075693919
286	2.074618824
287	2.073470986
288	2.072792
289	2.071621488
290	2.070643818
291	2.070101712
292	2.069441168
293	2.068096673
294	2.067223124
295	2.066610283
296	2.065402658
297	2.06507173
298	2.063909001
299	2.062777016
300	2.062248575
301	2.06154167
302	2.0605462
303	2.059421917
304	2.058013973
305	2.05721912
306	2.055921767
307	2.055084859
308	2.054239207
309	2.053504964
310	2.052303618
311	2.051336632
312	2.050446326
313	2.050081579
314	2.049219297
315	2.048082381
316	2.046651224
317	2.046029188
318	2.045374702
319	2.044805835
320	2.043889633
321	2.043235335
322	2.042413435
323	2.041162216
324	2.040294202
325	2.039681685
326	2.038761251
327	2.03781028
328	2.037095097
329	2.036308632
330	2.035714771
331	2.03524201
332	2.03400874
333	2.033170845
334	2.03248202
335	2.031588305
336	2.030887065
337	2.030006178
338	2.029381144
339	2.028380849
340	2.027607837
341	2.026944365
342	2.026137122
343	2.02548715
344	2.024725972
345	2.024113758
346	2.023474581
347	2.022645365
348	2.021642009
349	2.021101388
350	2.01994307
351	2.019141814
352	2.018384798
353	2.0173509
354	2.016798702
355	2.015776022
356	2.014929694
357	2.014404045
358	2.013405336
359	2.012378987
360	2.011740107
361	2.011242908
362	2.010575006
363	2.010210902
364	2.009165675
365	2.007991451
366	2.007477925
367	2.006871224
368	2.005867088
369	2.004971468
370	2.00430449
371	2.003707168
372	2.002940793
373	2.002180499
374	2.001441224
375	2.001033563
376	2.000135656
377	1.999216657
378	1.998356799
379	1.997877938
380	1.996911188
381	1.995778518
382	1.995132581
383	1.994549786
384	1.993771764
385	1.993228073
386	1.992552746
387	1.99177643
388	1.991181676
389	1.990536621
390	1.990044265
391	1.989538529
392	1.988792704
393	1.98822884
394	1.987308117
395	1.986496636
396	1.986020523
397	1.985185362
398	1.984669299
399	1.98400144
400	1.983754451
401	1.982978211
402	1.981994619
403	1.981055141
404	1.980098989
405	1.979153391
406	1.978485686
407	1.97785116
408	1.976553287
409	1.976066204
410	1.975400536
411	1.974919356
412	1.97405848
413	1.973267831
414	1.972372861
415	1.971510291
416	1.970608325
417	1.970108435
418	1.969445874
419	1.968853284
420	1.968196754
421	1.967689809
422	1.967085542
423	1.965709857
424	1.96519785
425	1.964404214
426	1.963652018
427	1.963079509
428	1.9623676
429	1.961614238
430	1.960867851
431	1.960281824
432	1.959686693
433	1.958744354
434	1.958175637
435	1.957424186
436	1.956732973
437	1.956095355
438	1.955276131
439	1.954490697
440	1.953592726
441	1.953020934
442	1.952661538
443	1.951985435
444	1.951013861
445	1.950356985
446	1.949705952
447	1.948700475
448	1.948137725
449	1.947688331
450	1.947316604
451	1.946683565
452	1.945983482
453	1.945453209
454	1.944591122
455	1.944125809
456	1.943542039
457	1.94297287
458	1.942310146
459	1.941781599
460	1.941112016
461	1.94059931
462	1.940023188
463	1.939397151
464	1.938963531
465	1.938585261
466	1.938073728
467	1.937350061
468	1.936902725
469	1.936092755
470	1.935395359
471	1.933875126
472	1.933468014
473	1.933096072
474	1.932060921
475	1.931433352
476	1.930834511
477	1.929900026
478	1.929165393
479	1.928722291
480	1.928104867
481	1.926762073
482	1.92631121
483	1.925748548
484	1.924641981
485	1.924242076
486	1.923586607
487	1.922329799
488	1.921955526
489	1.920593307
490	1.920260524
491	1.919536238
492	1.918954299
493	1.918723888
494	1.918307498
495	1.917932142
496	1.917675732
497	1.9170308
498	1.916642221
499	1.916230319
500	1.915834535
501	1.915082495
502	1.914649725
503	1.91409769
504	1.913539563
505	1.912926624
506	1.912374245
507	1.91179849
508	1.911295147
509	1.910907947
510	1.91046056
511	1.909825724
512	1.909270316
513	1.908312659
514	1.907846705
515	1.907437785
516	1.906870515
517	1.906615833
518	1.906240227
519	1.905930104
520	1.905536634
521	1.904831086
522	1.904376755
523	1.90382845
524	1.902731892
525	1.902064776
526	1.9012483
527	1.900838821
528	1.900077569
529	1.899840206
530	1.899225658
531	1.898810489
532	1.89831654
533	1.897803702
534	1.897167847
535	1.896715815
536	1.896219359
537	1.895630571
538	1.895262287
539	1.893986919
540	1.893349364
541	1.892800334
542	1.892172523
543	1.891469653
544	1.890985305
545	1.890410823
546	1.889824381
547	1.889249825
548	1.88873503
549	1.888263343
550	1.887547488
551	1.886930112
552	1.886288737
553	1.88589604
554	1.885498324
555	1.885059629
556	1.884318242
557	1.884063839
558	1.883307205
559	1.882895674
560	1.882590973
561	1.882114929
562	1.881654585
563	1.88126742
564	1.880801487
565	1.880228169
566	1.879874849
567	1.879292082
568	1.878741656
569	1.878321472
570	1.877699176
571	1.877248571
572	1.876894966
573	1.876462974
574	1.876217718
575	1.87594496
576	1.875643414
577	1.875348615
578	1.874769941
579	1.874094414
580	1.87364902
581	1.872935617
582	1.872587258
583	1.872223384
584	1.871857449
585	1.871241352
586	1.87088972
587	1.87055376
588	1.870015727
589	1.869719679
590	1.869079537
591	1.868519745
592	1.867974028
593	1.867527113
594	1.86692441
595	1.866508099
596	1.866207972
