iter	Passed	Remaining
0	69	69772
1	116	58235
2	157	52336
3	249	62105
4	282	56173
5	328	54357
6	373	52939
7	414	51425
8	462	50950
9	512	50721
10	566	50889
11	614	50629
12	654	49697
13	699	49264
14	747	49054
15	794	48847
16	836	48365
17	869	47420
18	924	47736
19	972	47646
20	1019	47518
21	1047	46572
22	1084	46070
23	1154	46940
24	1215	47423
25	1263	47335
26	1306	47096
27	1337	46436
28	1367	45784
29	1418	45872
30	1464	45771
31	1510	45697
32	1564	45850
33	1610	45765
34	1657	45702
35	1698	45480
36	1741	45317
37	1789	45300
38	1834	45214
39	1894	45477
40	1988	46508
41	2034	46404
42	2153	47923
43	2199	47787
44	2247	47706
45	2312	47963
46	2344	47538
47	2391	47428
48	2425	47079
49	2511	47717
50	2573	47891
51	2622	47812
52	2730	48787
53	2774	48601
54	2824	48524
55	2873	48440
56	2918	48289
57	2970	48240
58	3009	47992
59	3055	47868
60	3115	47955
61	3164	47881
62	3221	47913
63	3262	47711
64	3308	47596
65	3357	47508
66	3402	47376
67	3456	47372
68	3484	47017
69	3530	46906
70	3576	46794
71	3612	46559
72	3655	46416
73	3688	46161
74	3724	45929
75	3752	45627
76	3801	45571
77	3854	45564
78	3899	45466
79	3940	45311
80	3989	45258
81	4027	45090
82	4069	44959
83	4107	44791
84	4165	44839
85	4212	44766
86	4254	44642
87	4292	44481
88	4332	44344
89	4369	44178
90	4419	44149
91	4465	44071
92	4515	44035
93	4553	43887
94	4606	43880
95	4657	43861
96	4694	43705
97	4745	43678
98	4786	43564
99	4826	43435
100	4875	43396
101	4917	43297
102	4964	43233
103	5016	43218
104	5082	43320
105	5128	43255
106	5173	43178
107	5249	43357
108	5275	43127
109	5315	43005
110	5367	42985
111	5414	42931
112	5451	42790
113	5485	42629
114	5527	42538
115	5566	42422
116	5608	42324
117	5657	42284
118	5699	42199
119	5746	42139
120	5790	42067
121	5842	42043
122	5894	42027
123	5954	42062
124	6006	42048
125	6054	41995
126	6104	41961
127	6143	41852
128	6181	41740
129	6222	41643
130	6266	41568
131	6311	41502
132	6344	41358
133	6378	41220
134	6416	41114
135	6468	41096
136	6514	41035
137	6546	40892
138	6580	40760
139	6622	40683
140	6678	40688
141	6712	40555
142	6751	40463
143	6789	40359
144	6834	40298
145	6886	40279
146	6922	40170
147	6956	40044
148	7004	40007
149	7035	39865
150	7080	39809
151	7111	39673
152	7152	39596
153	7199	39552
154	7231	39422
155	7278	39376
156	7313	39271
157	7354	39191
158	7401	39149
159	7450	39113
160	7499	39083
161	7546	39036
162	7592	38988
163	7646	38976
164	7695	38941
165	7737	38873
166	7778	38801
167	7817	38714
168	7870	38702
169	7912	38632
170	7955	38566
171	8001	38518
172	8043	38450
173	8086	38389
174	8130	38331
175	8167	38236
176	8203	38145
177	8235	38029
178	8277	37965
179	8325	37929
180	8370	37875
181	8412	37807
182	8472	37823
183	8511	37745
184	8557	37699
185	8600	37640
186	8644	37582
187	8688	37526
188	8728	37452
189	8775	37410
190	8825	37379
191	8873	37344
192	8916	37281
193	8950	37186
194	8987	37103
195	9031	37048
196	9076	36996
197	9114	36919
198	9148	36823
199	9195	36783
200	9243	36744
201	9311	36784
202	9353	36722
203	9402	36689
204	9456	36671
205	9501	36622
206	9554	36604
207	9592	36526
208	9649	36518
209	9696	36478
210	9762	36505
211	9806	36449
212	9864	36447
213	9923	36449
214	9965	36385
215	10010	36334
216	10061	36305
217	10111	36270
218	10154	36214
219	10207	36191
220	10241	36100
221	10281	36029
222	10325	35976
223	10387	35985
224	10431	35930
225	10473	35870
226	10520	35823
227	10556	35744
228	10595	35673
229	10631	35591
230	10661	35491
231	10724	35500
232	10804	35566
233	10851	35521
234	10901	35486
235	10946	35437
236	10989	35379
237	11032	35323
238	11074	35261
239	11123	35223
240	11162	35154
241	11194	35064
242	11232	34992
243	11281	34952
244	11324	34897
245	11370	34850
246	11457	34930
247	11506	34890
248	11548	34830
249	11581	34743
250	11624	34689
251	11669	34639
252	11708	34570
253	11753	34520
254	11797	34466
255	11842	34417
256	11889	34373
257	11932	34316
258	11973	34254
259	12006	34173
260	12097	34254
261	12142	34203
262	12199	34187
263	12254	34165
264	12289	34085
265	12333	34032
266	12381	33990
267	12413	33904
268	12462	33866
269	12514	33834
270	12544	33745
271	12594	33707
272	12632	33639
273	12667	33563
274	12712	33514
275	12757	33465
276	12802	33416
277	12851	33376
278	12898	33332
279	12946	33291
280	12992	33243
281	13025	33165
282	13075	33127
283	13120	33079
284	13165	33029
285	13206	32969
286	13236	32883
287	13277	32825
288	13326	32785
289	13368	32730
290	13416	32688
291	13459	32633
292	13501	32578
293	13539	32513
294	13584	32464
295	13626	32409
296	13667	32350
297	13709	32296
298	13770	32283
299	13812	32228
300	13852	32170
301	13896	32119
302	13930	32045
303	13979	32005
304	14024	31956
305	14064	31896
306	14102	31834
307	14152	31796
308	14194	31741
309	14222	31656
310	14277	31630
311	14312	31560
312	14351	31499
313	14381	31419
314	14437	31396
315	14480	31343
316	14530	31305
317	14568	31243
318	14617	31204
319	14670	31175
320	14728	31154
321	14769	31098
322	14818	31058
323	14853	30990
324	14890	30926
325	14928	30864
326	14970	30810
327	15023	30779
328	15055	30706
329	15090	30637
330	15133	30586
331	15169	30521
332	15215	30477
333	15254	30417
334	15302	30377
335	15345	30325
336	15396	30289
337	15443	30246
338	15488	30200
339	15530	30148
340	15580	30109
341	15636	30084
342	15679	30033
343	15727	29991
344	15769	29939
345	15816	29896
346	15856	29839
347	15912	29812
348	15951	29753
349	15971	29661
350	16008	29600
351	16042	29532
352	16080	29472
353	16135	29445
354	16175	29390
355	16227	29355
356	16270	29305
357	16310	29248
358	16353	29198
359	16397	29150
360	16435	29091
361	16498	29077
362	16536	29019
363	16582	28973
364	16611	28899
365	16651	28844
366	16689	28786
367	16731	28735
368	16783	28700
369	16815	28632
370	16862	28589
371	16906	28540
372	16947	28487
373	16986	28431
374	17034	28390
375	17076	28339
376	17114	28282
377	17160	28237
378	17205	28191
379	17239	28127
380	17286	28085
381	17331	28038
382	17369	27980
383	17414	27936
384	17452	27878
385	17499	27836
386	17545	27792
387	17594	27751
388	17638	27705
389	17686	27663
390	17723	27605
391	17760	27547
392	17806	27502
393	17850	27455
394	17900	27417
395	17943	27368
396	17976	27304
397	18009	27240
398	18051	27190
399	18091	27137
400	18120	27067
401	18153	27004
402	18188	26944
403	18226	26888
404	18273	26846
405	18310	26789
406	18357	26746
407	18398	26695
408	18440	26645
409	18476	26588
410	18524	26547
411	18567	26498
412	18611	26452
413	18653	26402
414	18709	26373
415	18749	26321
416	18806	26293
417	18852	26248
418	18904	26213
419	18958	26180
420	18999	26130
421	19038	26076
422	19076	26021
423	19119	25973
424	19169	25935
425	19217	25893
426	19258	25843
427	19304	25799
428	19343	25746
429	19376	25684
430	19409	25624
431	19464	25592
432	19505	25541
433	19542	25486
434	19594	25449
435	19645	25413
436	19685	25362
437	19736	25323
438	19785	25283
439	19834	25243
440	19877	25196
441	19940	25173
442	19988	25132
443	20039	25094
444	20086	25051
445	20127	25000
446	20163	24945
447	20212	24904
448	20261	24864
449	20322	24838
450	20367	24792
451	20416	24753
452	20454	24699
453	20500	24654
454	20542	24605
455	20579	24551
456	20620	24500
457	20679	24472
458	20737	24441
459	20808	24427
460	20883	24416
461	20967	24416
462	21040	24402
463	21112	24388
464	21151	24336
465	21214	24309
466	21315	24328
467	21374	24297
468	21433	24267
469	21497	24241
470	21549	24203
471	21592	24154
472	21639	24109
473	21683	24061
474	21738	24026
475	21790	23988
476	21839	23945
477	21891	23906
478	21935	23858
479	21983	23815
480	22027	23767
481	22068	23716
482	22114	23671
483	22172	23638
484	22227	23601
485	22271	23554
486	22311	23502
487	22354	23453
488	22391	23399
489	22425	23341
490	22471	23295
491	22534	23267
492	22591	23232
493	22640	23190
494	22682	23141
495	22731	23097
496	22771	23046
497	22807	22990
498	22889	22981
499	22944	22944
500	22998	22906
501	23076	22892
502	23118	22842
503	23183	22815
504	23243	22782
505	23306	22754
506	23353	22708
507	23411	22674
508	23446	22617
509	23493	22571
510	23522	22510
511	23565	22461
512	23612	22415
513	23682	22392
514	23735	22352
515	23791	22315
516	23849	22281
517	23904	22243
518	23947	22194
519	23983	22138
520	24037	22099
521	24074	22044
522	24138	22015
523	24188	21973
524	24230	21922
525	24283	21882
526	24330	21837
527	24375	21790
528	24437	21757
529	24494	21721
530	24558	21691
531	24602	21643
532	24651	21599
533	24741	21590
534	24792	21548
535	24840	21503
536	24878	21450
537	24926	21404
538	24974	21360
539	25001	21297
540	25040	21245
541	25090	21201
542	25151	21168
543	25204	21127
544	25253	21083
545	25296	21034
546	25354	20997
547	25394	20945
548	25438	20897
549	25484	20851
550	25529	20803
551	25582	20762
552	25635	20721
553	25682	20675
554	25786	20675
555	25839	20634
556	25882	20584
557	25916	20528
558	25966	20485
559	26024	20448
560	26071	20401
561	26106	20346
562	26157	20303
563	26199	20253
564	26243	20204
565	26299	20165
566	26343	20118
567	26389	20070
568	26430	20020
569	26473	19970
570	26507	19915
571	26553	19868
572	26589	19814
573	26623	19758
574	26663	19707
575	26703	19656
576	26746	19607
577	26792	19561
578	26835	19512
579	26871	19458
580	26921	19415
581	26975	19374
582	27029	19333
583	27083	19292
584	27118	19237
585	27174	19198
586	27241	19166
587	27287	19119
588	27336	19075
589	27379	19026
590	27417	18974
591	27465	18928
592	27526	18892
593	27592	18859
